date,station,depth,inc.temp,subs,conc.uM,rep,treatment,time,fl,std,air.temp
10/22/13,st 1,5,17,gly,400,1,live,16:09,8747,,
10/22/13,st 1,5,17,gly,400,2,live,16:09,9024,,
10/22/13,st 1,5,17,gly,400,3,live,16:10,8760,,
10/22/13,st 1,5,17,gly,400,1,killed,16:10,8956,,
10/22/13,st 1,5,17,gly,400,2,killed,16:10,8768,,
10/22/13,st 1,5,17,gly,400,3,killed,16:10,8751,,
10/22/13,st 1,5,17,leu,0,1,live,16:11,156.5,807.4,21.9
10/22/13,st 1,5,17,leu,50,1,live,16:12,2345,,
10/22/13,st 1,5,17,leu,100,1,live,16:12,3681,,
10/22/13,st 1,5,17,leu,150,1,live,16:12,4703,,
10/22/13,st 1,5,17,leu,200,1,live,16:12,6165,,
10/22/13,st 1,5,17,leu,250,1,live,16:13,6958,,
10/22/13,st 1,5,17,leu,300,1,live,16:13,9730,,
10/22/13,st 1,5,17,leu,400,1,live,16:13,8501,,
10/22/13,st 1,5,17,leu,400,2,live,16:13,8879,,
10/22/13,st 1,5,17,leu,400,3,live,16:13,8505,,
10/22/13,st 1,5,17,leu,400,1,killed,16:14,6892,,
10/22/13,st 1,5,17,leu,400,2,killed,16:14,6778,,
10/22/13,st 1,5,17,leu,400,3,killed,16:14,6839,,
10/22/13,st 1,5,17,pyr,0,1,live,16:15,153.1,808.7,21.9
10/22/13,st 1,5,17,pyr,50,1,live,16:15,1132,,
10/22/13,st 1,5,17,pyr,100,1,live,16:15,1745,,
10/22/13,st 1,5,17,pyr,150,1,live,16:16,2561,,
10/22/13,st 1,5,17,pyr,200,1,live,16:16,3389,,
10/22/13,st 1,5,17,pyr,250,1,live,16:16,3904,,
10/22/13,st 1,5,17,pyr,300,1,live,16:16,4573,,
10/22/13,st 1,5,17,pyr,400,1,live,16:16,5832,,
10/22/13,st 1,5,17,pyr,400,2,live,16:17,5883,,
10/22/13,st 1,5,17,pyr,400,3,live,16:17,5820,,
10/22/13,st 1,5,17,pyr,400,1,killed,16:17,5638,,
10/22/13,st 1,5,17,pyr,400,2,killed,16:17,5666,,
10/22/13,st 1,5,17,pyr,400,3,killed,16:18,5702,,
10/22/13,st 1,5,17,ala-ala-phe,0,1,live,16:19,155.2,808.4,21.9
10/22/13,st 1,5,17,ala-ala-phe,50,1,live,16:19,1523,,
10/22/13,st 1,5,17,ala-ala-phe,100,1,live,16:19,2151,,
10/22/13,st 1,5,17,ala-ala-phe,150,1,live,16:19,2946,,
10/22/13,st 1,5,17,ala-ala-phe,200,1,live,16:19,3867,,
10/22/13,st 1,5,17,ala-ala-phe,250,1,live,16:20,5137,,
10/22/13,st 1,5,17,ala-ala-phe,300,1,live,16:20,5595,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,live,16:20,7593,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,live,16:20,7498,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,live,16:20,7175,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,killed,16:21,6698,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,killed,16:21,6621,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,killed,16:21,6626,,
10/22/13,st 1,5,17,arg,0,1,live,17:10,161.7,,
10/22/13,st 1,5,17,arg,50,1,live,17:10,1136,,
10/22/13,st 1,5,17,arg,100,1,live,17:10,2001,,
10/22/13,st 1,5,17,arg,150,1,live,17:10,2275,,
10/22/13,st 1,5,17,arg,200,1,live,17:11,2831,,
10/22/13,st 1,5,17,arg,250,1,live,17:11,3331,,
10/22/13,st 1,5,17,arg,300,1,live,17:11,3860,,
10/22/13,st 1,5,17,arg,400,1,live,17:11,4985,,
10/22/13,st 1,5,17,arg,400,2,live,17:12,5158,,
10/22/13,st 1,5,17,arg,400,3,live,17:12,4610,,
10/22/13,st 1,5,17,arg,400,1,killed,17:12,4057,,
10/22/13,st 1,5,17,arg,400,2,killed,17:12,4313,,
10/22/13,st 1,5,17,arg,400,3,killed,17:12,4351,,
10/22/13,st 1,5,17,gly,0,1,live,17:13,156.2,807.3,21.8
10/22/13,st 1,5,17,gly,50,1,live,17:13,2039,,
10/22/13,st 1,5,17,gly,100,1,live,17:13,3101,,
10/22/13,st 1,5,17,gly,150,1,live,17:14,4192,,
10/22/13,st 1,5,17,gly,200,1,live,17:14,5323,,
10/22/13,st 1,5,17,gly,250,1,live,17:14,6341,,
10/22/13,st 1,5,17,gly,300,1,live,17:14,7152,,
10/22/13,st 1,5,17,gly,400,1,live,17:14,8777,,
10/22/13,st 1,5,17,gly,400,2,live,17:15,9110,,
10/22/13,st 1,5,17,gly,400,3,live,17:15,8853,,
10/22/13,st 1,5,17,gly,400,1,killed,17:15,8924,,
10/22/13,st 1,5,17,gly,400,2,killed,17:15,8723,,
10/22/13,st 1,5,17,gly,400,3,killed,17:15,8501,,
10/22/13,st 1,5,17,leu,0,1,live,17:16,157.1,,
